Date,Open,High,Low,Close,Adj Close,Volume
5/1/20,71.5625,74.75,71.462502,72.267502,70.482475,240616800
5/4/20,72.292503,73.422501,71.580002,73.290001,71.479706,133568000
5/5/20,73.764999,75.25,73.614998,74.389999,72.552551,147751200
5/6/20,75.114998,75.809998,74.717499,75.157501,73.301071,142333600
5/7/20,75.805,76.292503,75.4925,75.934998,74.05938,115215200
5/8/20,76.410004,77.587502,76.072502,77.532501,75.822121,133838400
5/11/20,77.025002,79.262497,76.809998,78.752502,77.015198,145946400
5/12/20,79.457497,79.922501,77.727501,77.852501,76.135063,162301200
5/13/20,78.037498,78.987503,75.802498,76.912498,75.215805,200622400
5/14/20,76.127502,77.447502,75.3825,77.385002,75.677872,158929200
5/15/20,75.087502,76.974998,75.052498,76.927498,75.230453,166348400
5/18/20,78.292503,79.125,77.580002,78.739998,77.002983,135178400
5/19/20,78.7575,79.629997,78.252502,78.285004,76.558022,101729600
5/20/20,79.169998,79.879997,79.129997,79.807503,78.046936,111504800
5/21/20,79.665001,80.222504,78.967499,79.212502,77.465057,102688800
5/22/20,78.942497,79.807503,78.837502,79.722504,77.963821,81803200
5/26/20,80.875,81.059998,79.125,79.182503,77.435707,125522000
5/27/20,79.035004,79.677498,78.272499,79.527496,77.773109,112945200
5/28/20,79.192497,80.860001,78.907501,79.5625,77.80732,133560800
5/29/20,79.8125,80.287498,79.1175,79.485001,77.731544,153532400
6/1/20,79.4375,80.587502,79.302498,80.462502,78.6875,80791200
6/2/20,80.1875,80.860001,79.732498,80.834999,79.051758,87642800
6/3/20,81.165001,81.550003,80.574997,81.279999,79.486946,104491200
6/4/20,81.097504,81.404999,80.195,80.580002,78.802383,87560400
6/5/20,80.837502,82.9375,80.807503,82.875,81.046753,137250400
6/8/20,82.5625,83.400002,81.830002,83.364998,81.525955,95654400
6/9/20,83.035004,86.402496,83.002502,85.997498,84.100388,147712400
6/10/20,86.974998,88.692497,86.522499,88.209999,86.264053,166651600
6/11/20,87.327499,87.764999,83.870003,83.974998,82.122482,201662400
6/12/20,86.18,86.949997,83.555,84.699997,82.83149,200146000
6/15/20,83.3125,86.419998,83.144997,85.747498,83.855888,138808800
6/16/20,87.864998,88.300003,86.18,88.019997,86.078255,165428800
6/17/20,88.787498,88.849998,87.772499,87.897499,85.958473,114406400
6/18/20,87.852501,88.362503,87.305,87.932503,85.992691,96820400
6/19/20,88.660004,89.139999,86.287498,87.43,85.501274,264476000
6/22/20,87.834999,89.864998,87.787498,89.717499,87.738304,135445200
6/23/20,91,93.095001,90.567497,91.6325,89.611053,212155600
6/24/20,91.25,92.197502,89.629997,90.014999,88.029251,192623200
6/25/20,90.175003,91.25,89.392502,91.209999,89.197876,137522400
6/26/20,91.102501,91.330002,88.254997,88.407501,86.457207,205256800
6/29/20,88.3125,90.542503,87.82,90.445,88.44976,130646000
6/30/20,90.019997,91.495003,90,91.199997,89.18811,140223200
7/1/20,91.279999,91.839996,90.977501,91.027496,89.019409,110737200
7/2/20,91.962502,92.6175,90.910004,91.027496,89.019409,114041600
7/6/20,92.5,93.945,92.467499,93.462502,91.400711,118655600
7/7/20,93.852501,94.654999,93.057503,93.172501,91.117104,112424400
7/8/20,94.18,95.375,94.089996,95.342499,93.239227,117092000
7/9/20,96.262497,96.317497,94.672501,95.752502,93.640175,125642800
7/10/20,95.334999,95.980003,94.705002,95.919998,93.803986,90257200
7/13/20,97.264999,99.955002,95.2575,95.477501,93.371262,191649200
7/14/20,94.839996,97.254997,93.877502,97.057503,94.916374,170989200
7/15/20,98.989998,99.247498,96.489998,97.724998,95.569168,153198000
7/16/20,96.5625,97.404999,95.904999,96.522499,94.393181,110577600
7/17/20,96.987503,97.147499,95.839996,96.327499,94.202492,92186800
7/20/20,96.417503,98.5,96.0625,98.357498,96.187721,90318000
7/21/20,99.172501,99.25,96.7425,97,94.860161,103433200
7/22/20,96.692497,97.974998,96.602501,97.272499,95.126663,89001600
7/23/20,96.997498,97.077499,92.010002,92.845001,90.796829,197004400
7/24/20,90.987503,92.970001,89.144997,92.614998,90.571892,185438800
7/27/20,93.709999,94.904999,93.480003,94.809998,92.71846,121214000
7/28/20,94.3675,94.550003,93.247498,93.252502,91.195343,103625600
7/29/20,93.75,95.230003,93.712502,95.040001,92.943398,90329200
7/30/20,94.1875,96.297501,93.767502,96.190002,94.068016,158130000
7/31/20,102.885002,106.415001,100.824997,106.260002,103.915886,374336800
8/3/20,108.199997,111.637497,107.892502,108.9375,106.534317,308151200
8/4/20,109.1325,110.790001,108.387497,109.665001,107.245773,173071600
8/5/20,109.377502,110.392502,108.897499,110.0625,107.634499,121776800
8/6/20,110.404999,114.412498,109.797501,113.902496,111.389793,202428800
8/7/20,113.205002,113.675003,110.292503,111.112503,108.857246,198045600
8/10/20,112.599998,113.775002,110,112.727501,110.439484,212403600
8/11/20,111.970001,112.482498,109.107498,109.375,107.155014,187902400
8/12/20,110.497498,113.275002,110.297501,113.010002,110.71624,165598000
8/13/20,114.43,116.042503,113.927498,115.010002,112.675644,210082000
8/14/20,114.830002,115,113.044998,114.907501,112.575233,165565200
8/17/20,116.0625,116.087502,113.962502,114.607498,112.281311,119561600
8/18/20,114.352501,116,114.0075,115.5625,113.216934,105633600
8/19/20,115.982498,117.162498,115.610001,115.707497,113.358986,145538000
8/20/20,115.75,118.392502,115.732498,118.275002,115.874367,126907200
8/21/20,119.262497,124.8675,119.25,124.370003,121.845665,338054800
8/24/20,128.697495,128.785004,123.9375,125.857498,123.302979,345937600
8/25/20,124.697502,125.18,123.052498,124.824997,122.29142,211495600
8/26/20,126.18,126.9925,125.082497,126.522499,123.954468,163022400
8/27/20,127.142502,127.485001,123.832497,125.010002,122.472672,155552400
8/28/20,126.012497,126.442497,124.577499,124.807503,122.2743,187630000
8/31/20,127.580002,131,126,129.039993,126.42086,225702700
9/1/20,132.759995,134.800003,130.529999,134.179993,131.456528,151948100
9/2/20,137.589996,137.979996,127,131.399994,128.732971,200119000
9/3/20,126.910004,128.839996,120.5,120.879997,118.426483,257599600
9/4/20,120.07,123.699997,110.889999,120.959999,118.504875,332607200
9/8/20,113.949997,118.989998,112.68,112.82,110.530098,231366600
9/9/20,117.260002,119.139999,115.260002,117.32,114.938744,176940500
9/10/20,120.360001,120.5,112.5,113.489998,111.186493,182274400
9/11/20,114.57,115.230003,110,112,109.726738,180860300
9/14/20,114.720001,115.93,112.800003,115.360001,113.018532,140150100
9/15/20,118.330002,118.830002,113.610001,115.540001,113.194893,184642000
9/16/20,115.230003,116,112.040001,112.129997,109.854095,154679000
9/17/20,109.720001,112.199997,108.709999,110.339996,108.100433,178011000
9/18/20,110.400002,110.879997,106.089996,106.839996,104.671471,287104900
9/21/20,104.540001,110.190002,103.099998,110.080002,107.845711,195713800
9/22/20,112.68,112.860001,109.160004,111.809998,109.540581,183055400
9/23/20,111.620003,112.110001,106.769997,107.120003,104.945793,150718700
9/24/20,105.169998,110.25,105,108.220001,106.02346,167743300
9/25/20,108.43,112.440002,107.669998,112.279999,110.001053,149981400
9/28/20,115.010002,115.32,112.779999,114.959999,112.626648,137672400
9/29/20,114.550003,115.309998,113.57,114.089996,111.774315,99382200
9/30/20,113.790001,117.260002,113.620003,115.809998,113.459404,142675200
10/1/20,117.639999,117.720001,115.830002,116.790001,114.419518,116120400
10/2/20,112.889999,115.370003,112.220001,113.019997,110.726028,144712000
10/5/20,113.910004,116.650002,113.550003,116.5,114.135406,106243800
10/6/20,115.699997,116.120003,112.25,113.160004,110.86319,161498200
10/7/20,114.620003,115.550003,114.129997,115.080002,112.744232,96849000
10/8/20,116.25,116.400002,114.589996,114.970001,112.636459,83477200
10/9/20,115.279999,117,114.919998,116.970001,114.595879,100506900
10/12/20,120.059998,125.18,119.279999,124.400002,121.875061,240226800
10/13/20,125.269997,125.389999,119.650002,121.099998,118.642044,262330500
10/14/20,121,123.029999,119.620003,121.190002,118.730217,150712000
10/15/20,118.720001,121.199997,118.150002,120.709999,118.259956,112559200
10/16/20,121.279999,121.550003,118.809998,119.019997,116.604233,115393800
10/19/20,119.959999,120.419998,115.660004,115.980003,113.625969,120639300
10/20/20,116.199997,118.980003,115.629997,117.510002,115.124908,124423700
10/21/20,116.669998,118.709999,116.449997,116.870003,114.497894,89946000
10/22/20,117.449997,118.040001,114.589996,115.75,113.400612,101988000
10/23/20,116.389999,116.550003,114.279999,115.040001,112.70504,82572600
10/26/20,114.010002,116.550003,112.879997,115.050003,112.714821,111850700
10/27/20,115.489998,117.279999,114.540001,116.599998,114.233376,92276800
